Month,Geothermal Energy Consumed by the Residential Sector,Solar Energy Consumed by the Residential Sector,Wood Energy Consumed by the Residential Sector,Total Renewable Energy Consumed by the Residential Sector,Hydroelectric Power Consumed by the Commercial Sector,Geothermal Energy Consumed by the Commercial Sector,Solar Energy Consumed by the Commercial Sector,Wind Energy Consumed by the Commercial Sector,Wood Energy Consumed by the Commercial Sector,Waste Energy Consumed by the Commercial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Commercial Sector",Biomass Energy Consumed by the Commercial Sector,Total Renewable Energy Consumed by the Commercial Sector,Hydroelectric Power Consumed by the Industrial Sector,Geothermal Energy Consumed by the Industrial Sector,Solar Energy Consumed by the Industrial Sector,Wind Energy Consumed by the Industrial Sector,Wood Energy Consumed by the Industrial Sector,Waste Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Industrial Sector",Biomass Losses and Co-products in the Industrial Sector,Biomass Energy Consumed by the Industrial Sector,Total Renewable Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector",Biodiesel Consumed by the Transportation Sector,Biomass Energy Consumed by the Transportation Sector,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Wood Energy Consumed by the Electric Power Sector,Waste Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector
1985 April,Not Available,Not Available,83.014,83.014,Not Available,Not Available,Not Available,Not Available,1.973,Not Available,0.031,2.003,2.003,3.101,Not Available,Not Available,Not Available,135.205,18.874,0.07,3.468,157.617,160.718,4.088,Not Available,4.088,254.938,7.281,0.013,0.006,0.271,0.606,0.877,263.114
1985 May,Not Available,Not Available,85.781,85.781,Not Available,Not Available,Not Available,Not Available,2.038,Not Available,0.032,2.07,2.07,3.476,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,166.347,4.224,Not Available,4.224,276.022,7.571,0.015,0.004,0.327,0.608,0.934,284.546
1985 June,Not Available,Not Available,83.014,83.014,Not Available,Not Available,Not Available,Not Available,1.973,Not Available,0.031,2.003,2.003,3.331,Not Available,Not Available,Not Available,135.205,18.874,0.07,3.468,157.617,160.948,4.088,Not Available,4.088,249.042,7.294,0.016,0.004,0.279,0.642,0.921,257.277
1985 July,Not Available,Not Available,85.781,85.781,Not Available,Not Available,Not Available,Not Available,2.038,Not Available,0.032,2.07,2.07,2.941,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,165.812,4.224,Not Available,4.224,222.446,8.019,0.011,0.001,0.559,0.653,1.212,231.69
1985 August,Not Available,Not Available,85.781,85.781,Not Available,Not Available,Not Available,Not Available,2.038,Not Available,0.032,2.07,2.07,2.466,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,165.337,4.224,Not Available,4.224,208.74,8.381,0.021,0.004,0.745,0.61,1.354,218.5
1985 September,Not Available,Not Available,83.014,83.014,Not Available,Not Available,Not Available,Not Available,1.973,Not Available,0.031,2.003,2.003,2.227,Not Available,Not Available,Not Available,135.205,18.874,0.07,3.468,157.617,159.844,4.088,Not Available,4.088,196.061,7.966,0.014,0.009,0.814,0.46,1.274,205.325
1985 October,Not Available,Not Available,85.781,85.781,Not Available,Not Available,Not Available,Not Available,2.038,Not Available,0.032,2.07,2.07,2.152,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,165.023,4.224,Not Available,4.224,209.438,7.626,0.01,0.005,0.755,0.474,1.229,218.308
1985 November,Not Available,Not Available,83.014,83.014,Not Available,Not Available,Not Available,Not Available,1.973,Not Available,0.031,2.003,2.003,2.314,Not Available,Not Available,Not Available,135.205,18.874,0.07,3.468,157.617,159.931,4.088,Not Available,4.088,239.801,9.416,0.003,0.002,0.77,0.578,1.348,250.57
1985 December,Not Available,Not Available,85.781,85.781,Not Available,Not Available,Not Available,Not Available,2.038,Not Available,0.032,2.07,2.07,2.465,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,165.336,4.224,Not Available,4.224,264.921,10.325,0.002,0.001,0.758,0.541,1.299,276.549
1986 January,Not Available,Not Available,78.137,78.137,Not Available,Not Available,Not Available,Not Available,2.293,Not Available,0.039,2.333,2.333,3.046,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,165.682,4.878,Not Available,4.878,223.306,10.526,0.007,0.002,0.67,0.524,1.194,235.035
1986 February,Not Available,Not Available,70.575,70.575,Not Available,Not Available,Not Available,Not Available,2.071,Not Available,0.036,2.107,2.107,2.574,Not Available,Not Available,Not Available,123.507,19.616,0.069,3.705,146.897,149.471,4.406,Not Available,4.406,242.578,9.04,0.006,0.002,0.382,0.555,0.938,252.563
1986 March,Not Available,Not Available,78.137,78.137,Not Available,Not Available,Not Available,Not Available,2.293,Not Available,0.039,2.333,2.333,2.93,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,165.566,4.878,Not Available,4.878,297.35,9.403,0.011,0.007,0.209,0.645,0.854,307.624
1986 April,Not Available,Not Available,75.616,75.616,Not Available,Not Available,Not Available,Not Available,2.219,Not Available,0.038,2.257,2.257,3.1,Not Available,Not Available,Not Available,132.329,21.017,0.074,3.97,157.389,160.49,4.721,Not Available,4.721,287.509,8.479,0.014,0.006,0.208,0.597,0.805,296.813
1986 May,Not Available,Not Available,78.137,78.137,Not Available,Not Available,Not Available,Not Available,2.293,Not Available,0.039,2.333,2.333,3.476,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,166.112,4.878,Not Available,4.878,284.179,8.568,0.019,0.008,0.254,0.585,0.839,293.613
1986 June,Not Available,Not Available,75.616,75.616,Not Available,Not Available,Not Available,Not Available,2.219,Not Available,0.038,2.257,2.257,3.33,Not Available,Not Available,Not Available,132.329,21.017,0.074,3.97,157.389,160.72,4.721,Not Available,4.721,273.929,9.295,0.015,0.005,0.279,0.574,0.853,284.098
1986 July,Not Available,Not Available,78.137,78.137,Not Available,Not Available,Not Available,Not Available,2.293,Not Available,0.039,2.333,2.333,2.94,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,165.576,4.878,Not Available,4.878,251.456,9.862,0.017,0.005,0.428,0.6,1.028,262.369
1986 August,Not Available,Not Available,78.137,78.137,Not Available,Not Available,Not Available,Not Available,2.293,Not Available,0.039,2.333,2.333,2.466,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,165.101,4.878,Not Available,4.878,221.344,9.839,0.017,0.005,0.59,0.603,1.193,232.398
1986 September,Not Available,Not Available,75.616,75.616,Not Available,Not Available,Not Available,Not Available,2.219,Not Available,0.038,2.257,2.257,2.227,Not Available,Not Available,Not Available,132.329,21.017,0.074,3.97,157.389,159.616,4.721,Not Available,4.721,220.552,8.245,0.015,0.001,0.535,0.555,1.09,229.903
1986 October,Not Available,Not Available,78.137,78.137,Not Available,Not Available,Not Available,Not Available,2.293,Not Available,0.039,2.333,2.333,2.151,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,164.787,4.878,Not Available,4.878,222.866,8.105,0.013,0.002,0.404,0.587,0.991,231.979
1986 November,Not Available,Not Available,75.616,75.616,Not Available,Not Available,Not Available,Not Available,2.219,Not Available,0.038,2.257,2.257,2.314,Not Available,Not Available,Not Available,132.329,21.017,0.074,3.97,157.389,159.703,4.721,Not Available,4.721,241.861,7.015,0.009,0,0.483,0.656,1.138,250.023
1986 December,Not Available,Not Available,78.137,78.137,Not Available,Not Available,Not Available,Not Available,2.293,Not Available,0.039,2.333,2.333,2.464,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,165.1,4.878,Not Available,4.878,271.228,9.299,0.003,0,0.693,0.676,1.369,281.899
1987 January,Not Available,Not Available,72.192,72.192,Not Available,Not Available,Not Available,Not Available,2.463,Not Available,0.046,2.509,2.509,3.039,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,165.587,5.612,Not Available,5.612,264.771,9.317,0.001,0.001,0.669,0.606,1.275,275.365
1987 February,Not Available,Not Available,65.205,65.205,Not Available,Not Available,Not Available,Not Available,2.225,Not Available,0.042,2.266,2.266,2.568,Not Available,Not Available,Not Available,120.899,21.615,0.077,4.227,146.818,149.386,5.068,Not Available,5.068,221.154,8.64,0.006,0,0.595,0.557,1.152,230.952
1987 March,Not Available,Not Available,72.192,72.192,Not Available,Not Available,Not Available,Not Available,2.463,Not Available,0.046,2.509,2.509,2.923,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,165.471,5.612,Not Available,5.612,242.22,9.473,0.009,0,0.611,0.685,1.296,252.999
1987 April,Not Available,Not Available,69.863,69.863,Not Available,Not Available,Not Available,Not Available,2.384,Not Available,0.045,2.428,2.428,3.092,Not Available,Not Available,Not Available,129.534,23.159,0.083,4.529,157.305,160.398,5.431,Not Available,5.431,229.481,8.929,0.013,0.002,0.473,0.639,1.112,239.537
1987 May,Not Available,Not Available,72.192,72.192,Not Available,Not Available,Not Available,Not Available,2.463,Not Available,0.046,2.509,2.509,3.467,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,166.016,5.612,Not Available,5.612,252.16,9.382,0.013,0.003,0.483,0.662,1.145,262.704
1987 June,Not Available,Not Available,69.863,69.863,Not Available,Not Available,Not Available,Not Available,2.384,Not Available,0.045,2.428,2.428,3.322,Not Available,Not Available,Not Available,129.534,23.159,0.083,4.529,157.305,160.627,5.431,Not Available,5.431,217.367,9.635,0.017,0.01,0.815,0.679,1.495,228.524
1987 July,Not Available,Not Available,72.192,72.192,Not Available,Not Available,Not Available,Not Available,2.463,Not Available,0.046,2.509,2.509,2.933,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,165.482,5.612,Not Available,5.612,210.407,9.961,0.019,0.013,0.828,0.67,1.498,221.897
1987 August,Not Available,Not Available,72.192,72.192,Not Available,Not Available,Not Available,Not Available,2.463,Not Available,0.046,2.509,2.509,2.459,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,165.008,5.612,Not Available,5.612,192.192,9.923,0.012,0.002,0.858,0.677,1.535,203.665
1987 September,Not Available,Not Available,69.863,69.863,Not Available,Not Available,Not Available,Not Available,2.384,Not Available,0.045,2.428,2.428,2.221,Not Available,Not Available,Not Available,129.534,23.159,0.083,4.529,157.305,159.526,5.431,Not Available,5.431,189.414,9.257,0.008,0.002,0.739,0.532,1.271,199.953
1987 October,Not Available,Not Available,72.192,72.192,Not Available,Not Available,Not Available,Not Available,2.463,Not Available,0.046,2.509,2.509,2.146,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,164.695,5.612,Not Available,5.612,187.069,9.375,0.006,0.001,0.605,0.592,1.197,197.648
1987 November,Not Available,Not Available,69.863,69.863,Not Available,Not Available,Not Available,Not Available,2.384,Not Available,0.045,2.428,2.428,2.308,Not Available,Not Available,Not Available,129.534,23.159,0.083,4.529,157.305,159.614,5.431,Not Available,5.431,175.635,9.064,0.003,0.001,0.682,0.489,1.17,185.873
1987 December,Not Available,Not Available,72.192,72.192,Not Available,Not Available,Not Available,Not Available,2.463,Not Available,0.046,2.509,2.509,2.458,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,165.007,5.612,Not Available,5.612,219.703,9.312,0.002,0.002,0.801,0.442,1.243,230.261
1988 January,Not Available,Not Available,77.077,77.077,Not Available,Not Available,Not Available,Not Available,2.71,Not Available,0.045,2.756,2.756,3.011,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,171.487,5.685,Not Available,5.685,227.466,9.312,0.005,0.007,0.945,0.393,1.337,238.127
1988 February,Not Available,Not Available,72.104,72.104,Not Available,Not Available,Not Available,Not Available,2.536,Not Available,0.043,2.578,2.578,2.544,Not Available,Not Available,Not Available,128.757,24.381,0.074,4.394,157.606,160.151,5.319,Not Available,5.319,197.245,8.013,0.008,0,0.85,0.396,1.246,206.512
1988 March,Not Available,Not Available,77.077,77.077,Not Available,Not Available,Not Available,Not Available,2.71,Not Available,0.045,2.756,2.756,2.896,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,171.372,5.685,Not Available,5.685,201.463,9.341,0.013,0,0.927,0.464,1.391,212.209
1988 April,Not Available,Not Available,74.59,74.59,Not Available,Not Available,Not Available,Not Available,2.623,Not Available,0.044,2.667,2.667,3.064,Not Available,Not Available,Not Available,133.197,25.222,0.077,4.546,163.041,166.105,5.502,Not Available,5.502,197.229,8.454,0.005,0,0.712,0.728,1.441,207.128
1988 May,Not Available,Not Available,77.077,77.077,Not Available,Not Available,Not Available,Not Available,2.71,Not Available,0.045,2.756,2.756,3.436,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,171.911,5.685,Not Available,5.685,219.265,8.31,0.013,0,0.401,0.792,1.194,228.783
1988 June,Not Available,Not Available,74.59,74.59,Not Available,Not Available,Not Available,Not Available,2.623,Not Available,0.044,2.667,2.667,3.292,Not Available,Not Available,Not Available,133.197,25.222,0.077,4.546,163.041,166.333,5.502,Not Available,5.502,194.431,8.815,0.014,0,0.833,0.707,1.539,204.8
1988 July,Not Available,Not Available,77.077,77.077,Not Available,Not Available,Not Available,Not Available,2.71,Not Available,0.045,2.756,2.756,2.906,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,171.382,5.685,Not Available,5.685,174.513,9.589,0.012,0,0.849,0.74,1.588,185.702
1988 August,Not Available,Not Available,77.077,77.077,Not Available,Not Available,Not Available,Not Available,2.71,Not Available,0.045,2.756,2.756,2.437,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,170.913,5.685,Not Available,5.685,169.801,9.149,0.012,0,0.991,0.83,1.821,180.783
1988 September,Not Available,Not Available,74.59,74.59,Not Available,Not Available,Not Available,Not Available,2.623,Not Available,0.044,2.667,2.667,2.201,Not Available,Not Available,Not Available,133.197,25.222,0.077,4.546,163.041,165.242,5.502,Not Available,5.502,167.973,8.772,0.01,0,0.808,0.748,1.556,178.311
1988 October,Not Available,Not Available,77.077,77.077,Not Available,Not Available,Not Available,Not Available,2.71,Not Available,0.045,2.756,2.756,2.126,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,170.602,5.685,Not Available,5.685,156.018,8.939,0.001,0,0.775,0.749,1.523,166.482
1988 November,Not Available,Not Available,74.59,74.59,Not Available,Not Available,Not Available,Not Available,2.623,Not Available,0.044,2.667,2.667,2.287,Not Available,Not Available,Not Available,133.197,25.222,0.077,4.546,163.041,165.328,5.502,Not Available,5.502,190.645,8.874,0.001,0,0.781,0.515,1.296,200.816
1988 December,Not Available,Not Available,77.077,77.077,Not Available,Not Available,Not Available,Not Available,2.71,Not Available,0.045,2.756,2.756,2.436,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,170.911,5.685,Not Available,5.685,205.58,8.77,0.001,0.001,0.791,0.56,1.352,215.703
1989 January,0.425,2.798,78.137,81.36,0.054,0.212,0.008,No Data Reported,6.503,1.245,0.043,7.791,8.065,2.242,0.153,0.002,No Data Reported,137.726,16.04,0.084,4.739,158.589,160.986,5.783,Not Available,5.783,221.743,13.344,0.073,1.521,8.805,7.468,16.273,252.952
1989 February,0.384,3.016,70.575,73.975,0.048,0.192,0.009,No Data Reported,5.878,1.204,0.039,7.121,7.369,1.995,0.138,0.002,No Data Reported,126.626,14.613,0.076,4.28,145.594,147.729,5.223,Not Available,5.223,197.267,12.048,0.077,2.331,8.192,7.221,15.413,227.136
1989 March,0.425,4.156,78.137,82.718,0.059,0.212,0.012,No Data Reported,6.513,0.815,0.043,7.371,7.654,2.426,0.153,0.003,No Data Reported,142.619,15.364,0.084,4.739,162.805,165.386,5.783,Not Available,5.783,239.874,14.211,0.199,2.671,9.331,4.888,14.219,271.173
1989 April,0.411,4.581,75.616,80.608,0.062,0.205,0.014,No Data Reported,6.283,1.134,0.041,7.458,7.74,2.579,0.148,0.003,No Data Reported,128.396,15.412,0.081,4.586,148.475,151.205,5.597,Not Available,5.597,255.086,12.33,0.247,2.484,7.995,6.805,14.8,284.947
1989 May,0.425,5.057,78.137,83.618,0.073,0.212,0.015,No Data Reported,6.445,1.842,0.043,8.33,8.63,3.005,0.153,0.003,No Data Reported,110.276,16.98,0.084,4.739,132.079,135.241,5.783,Not Available,5.783,297.162,13.067,0.162,2.131,5.853,11.053,16.906,329.428
1989 June,0.411,5.102,75.616,81.13,0.067,0.205,0.015,No Data Reported,6.264,1.875,0.041,8.181,8.468,2.773,0.148,0.003,No Data Reported,119.518,16.578,0.081,4.586,140.763,143.687,5.597,Not Available,5.597,274.206,12.9,0.226,1.631,7.04,11.25,18.291,307.254
1989 July,0.425,5.356,78.137,83.918,0.059,0.212,0.016,No Data Reported,6.477,2.238,0.043,8.757,9.044,2.429,0.153,0.004,No Data Reported,125.32,17.602,0.084,4.739,147.745,150.33,5.783,Not Available,5.783,240.19,13.082,0.371,1.482,7.471,13.425,20.895,276.021
1989 August,0.425,5.301,78.137,83.862,0.052,0.212,0.016,No Data Reported,6.508,2.119,0.043,8.67,8.951,2.163,0.153,0.003,No Data Reported,140.355,17.416,0.084,4.739,162.594,164.913,5.783,Not Available,5.783,213.871,12.624,0.274,1.075,9.087,12.714,21.801,249.645
1989 September,0.411,4.835,75.616,80.862,0.049,0.205,0.014,No Data Reported,6.287,2.38,0.041,8.708,8.977,2.027,0.148,0.003,No Data Reported,130.369,17.371,0.081,4.586,152.407,154.585,5.597,Not Available,5.597,200.439,11.756,0.328,2.923,8.207,14.276,22.483,237.928
1989 October,0.425,4.406,78.137,82.968,0.052,0.212,0.013,No Data Reported,6.502,2.478,0.043,9.022,9.299,2.151,0.153,0.003,No Data Reported,137.115,17.98,0.084,4.739,159.917,162.223,5.783,Not Available,5.783,212.689,12.367,0.294,1.832,8.739,14.864,23.603,250.785
1989 November,0.411,3.614,75.616,79.642,0.055,0.205,0.011,No Data Reported,6.308,2.482,0.041,8.831,9.102,2.27,0.148,0.002,No Data Reported,140.402,17.532,0.081,4.586,162.601,165.021,5.597,Not Available,5.597,224.453,11.797,0.257,1.281,9.286,14.888,24.174,261.962
1989 December,0.425,3.431,78.137,81.992,0.056,0.212,0.01,No Data Reported,6.518,2.184,0.043,8.745,9.024,2.338,0.153,0.002,No Data Reported,144.842,17.518,0.084,4.739,167.182,169.675,5.783,Not Available,5.783,231.201,12.714,0.107,0.671,9.57,13.104,22.673,267.366
1990 January,0.467,2.965,49.26,52.692,0.119,0.238,0.009,No Data Reported,5.592,2.272,0.042,7.906,8.273,2.573,0.161,0.002,No Data Reported,127.112,16.208,0.07,4.172,147.562,150.299,5.132,Not Available,5.132,250.585,14.17,0.156,3.134,11.446,15.385,26.831,294.876
1990 February,0.422,3.196,44.493,48.111,0.123,0.215,0.01,No Data Reported,5.071,2.101,0.038,7.211,7.559,2.667,0.146,0.002,No Data Reported,125.588,14.711,0.063,3.769,144.131,146.946,4.635,Not Available,4.635,259.764,12.956,0.187,2.405,11.57,14.226,25.796,301.109
1990 March,0.467,4.403,49.26,54.131,0.142,0.238,0.014,No Data Reported,5.603,2.424,0.042,8.069,8.462,3.061,0.161,0.003,No Data Reported,132.626,16.431,0.07,4.172,153.3,156.525,5.132,Not Available,5.132,298.131,14.25,0.265,2.551,12.076,16.412,28.488,343.684
1990 April,0.452,4.853,47.671,52.976,0.13,0.23,0.015,No Data Reported,5.417,2.263,0.041,7.721,8.096,2.806,0.156,0.003,No Data Reported,125.688,15.78,0.068,4.038,145.574,148.539,4.966,Not Available,4.966,273.24,11.242,0.289,4.373,11.383,15.326,26.708,315.851
1990 May,0.467,5.357,49.26,55.085,0.137,0.238,0.017,No Data Reported,5.547,2.275,0.042,7.863,8.256,2.965,0.161,0.004,No Data Reported,103.273,16.211,0.07,4.172,123.727,126.858,5.132,Not Available,5.132,288.815,13.274,0.485,3.644,8.723,15.402,24.125,330.342
1990 June,0.452,5.406,47.671,53.529,0.141,0.23,0.017,No Data Reported,5.322,2.385,0.041,7.748,8.137,3.049,0.156,0.004,No Data Reported,76.215,15.959,0.068,4.038,96.28,99.489,4.966,Not Available,4.966,296.931,13.809,0.395,4.227,5.73,16.148,21.879,337.241
1990 July,0.467,5.675,49.26,55.402,0.121,0.238,0.018,No Data Reported,5.563,2.252,0.042,7.858,8.235,2.617,0.161,0.004,No Data Reported,112.067,16.178,0.07,4.172,132.487,135.269,5.132,Not Available,5.132,254.843,13.913,0.485,1.239,9.727,15.249,24.976,295.457
1990 August,0.467,5.616,49.26,55.343,0.108,0.238,0.018,No Data Reported,5.606,2.37,0.042,8.018,8.382,2.34,0.161,0.004,No Data Reported,134.31,16.352,0.07,4.172,154.905,157.41,5.132,Not Available,5.132,227.906,13.726,0.509,0.729,12.269,16.049,28.317,271.187
1990 September,0.452,5.122,47.671,53.245,0.088,0.23,0.016,No Data Reported,5.427,2.41,0.041,7.877,8.212,1.902,0.156,0.004,No Data Reported,131.01,15.996,0.068,4.038,151.112,153.174,4.966,Not Available,4.966,185.264,12.908,0.326,0.947,11.991,16.315,28.306,227.751
1990 October,0.467,4.668,49.26,54.396,0.095,0.238,0.015,No Data Reported,5.587,2.461,0.042,8.09,8.438,2.064,0.161,0.003,No Data Reported,124.427,16.486,0.07,4.172,145.155,147.384,5.132,Not Available,5.132,201.053,13.531,0.351,2.114,11.139,16.661,27.8,244.849
1990 November,0.452,3.829,47.671,51.953,0.103,0.23,0.012,No Data Reported,5.395,2.279,0.041,7.715,8.061,2.226,0.156,0.003,No Data Reported,114.462,15.803,0.068,4.038,134.371,136.756,4.966,Not Available,4.966,216.756,12.967,0.17,2.405,10.1,15.432,25.532,257.83
1990 December,0.467,3.635,49.26,53.362,0.124,0.238,0.012,No Data Reported,5.607,2.272,0.042,7.922,8.295,2.677,0.161,0.003,No Data Reported,135.132,16.208,0.07,4.172,155.582,158.423,5.132,Not Available,5.132,260.724,13.802,0.201,1.239,12.362,15.386,27.748,303.714
1991 January,0.501,3.058,51.808,55.367,0.127,0.255,0.011,No Data Reported,5.87,2.208,0.038,8.116,8.508,2.761,0.178,0.002,No Data Reported,149.887,15.626,0.085,4.795,170.393,173.335,5.953,Not Available,5.953,277.684,14.512,0.208,0.648,14.208,19.053,33.261,326.313
1991 February,0.453,3.296,46.795,50.543,0.109,0.23,0.011,No Data Reported,5.236,1.977,0.034,7.247,7.598,2.367,0.161,0.003,No Data Reported,100.769,14.09,0.077,4.331,119.267,121.797,5.377,Not Available,5.377,238.049,12.653,0.224,3.026,8.787,17.062,25.849,279.8
1991 March,0.501,4.542,51.808,56.851,0.128,0.255,0.016,No Data Reported,5.775,2.28,0.038,8.093,8.491,2.78,0.178,0.003,No Data Reported,99.871,15.728,0.085,4.795,120.48,123.442,5.953,Not Available,5.953,279.658,14.448,0.063,2.161,8.361,19.679,28.04,324.37
1991 April,0.485,5.006,50.137,55.628,0.128,0.247,0.017,No Data Reported,5.558,2.308,0.036,7.901,8.293,2.765,0.173,0.004,No Data Reported,80.455,15.363,0.082,4.641,100.541,103.482,5.761,Not Available,5.761,278.115,12.967,0.068,2.485,6.198,19.913,26.112,319.747
1991 May,0.501,5.526,51.808,57.835,0.141,0.255,0.019,No Data Reported,5.759,2.436,0.038,8.232,8.647,3.049,0.178,0.004,No Data Reported,91.365,15.948,0.085,4.795,112.193,115.425,5.953,Not Available,5.953,306.637,13.262,0.655,3.782,7.367,21.025,28.391,352.727
1991 June,0.485,5.576,50.137,56.198,0.128,0.247,0.019,No Data Reported,5.591,2.288,0.036,7.915,8.308,2.764,0.173,0.004,No Data Reported,97.872,15.335,0.082,4.641,117.93,120.871,5.761,Not Available,5.761,278.055,14.144,0.701,1.621,8.234,19.743,27.977,322.498
1991 July,0.501,5.853,51.808,58.163,0.121,0.255,0.02,No Data Reported,5.77,2.125,0.038,7.933,8.329,2.618,0.178,0.004,No Data Reported,97.542,15.51,0.085,4.795,117.932,120.733,5.953,Not Available,5.953,263.311,14.135,0.86,1.621,8.089,18.339,26.428,306.356
1991 August,0.501,5.793,51.808,58.102,0.108,0.255,0.02,No Data Reported,5.836,2.316,0.038,8.189,8.572,2.337,0.178,0.004,No Data Reported,132.112,15.778,0.085,4.795,152.771,155.29,5.953,Not Available,5.953,235.08,13.994,0.746,2.377,12.13,19.982,32.113,284.31
1991 September,0.485,5.283,50.137,55.905,0.092,0.247,0.018,No Data Reported,5.691,2.198,0.036,7.925,8.282,1.986,0.173,0.004,No Data Reported,150.615,15.208,0.082,4.641,170.546,172.709,5.761,Not Available,5.761,199.783,13.126,0.628,2.161,14.4,18.966,33.366,249.064
1991 October,0.501,4.815,51.808,57.125,0.088,0.255,0.017,No Data Reported,5.84,1.979,0.038,7.857,8.216,1.902,0.178,0.004,No Data Reported,134.153,15.304,0.085,4.795,154.338,156.422,5.953,Not Available,5.953,191.306,13.859,0.372,4.43,12.369,17.082,29.451,239.418
1991 November,0.485,3.95,50.137,54.572,0.092,0.247,0.014,No Data Reported,5.646,2.248,0.036,7.93,8.282,1.989,0.173,0.003,No Data Reported,126.706,15.279,0.082,4.641,146.708,148.873,5.761,Not Available,5.761,200.049,14.507,0.263,4.43,11.605,19.4,31.005,250.254
1991 December,0.501,3.749,51.808,56.059,0.109,0.255,0.013,No Data Reported,5.868,2.122,0.038,8.027,8.404,2.358,0.178,0.003,No Data Reported,148.5,15.505,0.085,4.795,168.885,171.424,5.953,Not Available,5.953,237.172,15.02,0.136,2.053,14.046,18.313,32.359,286.74
1992 January,0.542,3.168,54.208,57.917,0.114,0.271,0.012,No Data Reported,6.146,2.906,0.039,9.091,9.487,2.75,0.186,0.003,No Data Reported,149.843,15.307,0.096,5.392,170.638,173.577,6.754,Not Available,6.754,233.086,14.635,0.09,1.551,15.027,23.48,38.507,287.869
1992 February,0.507,3.415,50.71,54.632,0.095,0.254,0.012,No Data Reported,5.701,2.803,0.037,8.54,8.901,2.285,0.174,0.003,No Data Reported,112.038,14.42,0.09,5.045,131.592,134.053,6.319,Not Available,6.319,193.641,12.892,0.115,5.333,10.658,22.649,33.307,245.288
1992 March,0.542,4.705,54.208,59.454,0.115,0.271,0.017,No Data Reported,6.06,2.674,0.039,8.773,9.176,2.77,0.186,0.004,No Data Reported,100.277,15.031,0.096,5.392,120.796,123.756,6.754,Not Available,6.754,234.775,14.679,0.146,3.393,9.039,21.607,30.646,283.64
1992 April,0.525,5.185,52.459,58.169,0.103,0.262,0.019,No Data Reported,5.862,2.368,0.038,8.268,8.652,2.479,0.18,0.004,No Data Reported,95.606,14.285,0.093,5.218,115.202,117.866,6.537,Not Available,6.537,210.137,13.287,0.303,3.297,8.574,19.132,27.706,254.729
1992 May,0.542,5.724,54.208,60.474,0.117,0.271,0.021,No Data Reported,6.009,2.911,0.039,8.959,9.368,2.826,0.186,0.005,No Data Reported,70.815,15.313,0.096,5.392,91.616,94.632,6.754,Not Available,6.754,239.483,14.07,0.485,0.97,5.48,23.52,29,284.008
1992 June,0.525,5.776,52.459,58.76,0.119,0.262,0.021,No Data Reported,5.887,2.794,0.038,8.719,9.121,2.855,0.18,0.005,No Data Reported,110.249,14.791,0.093,5.218,130.351,133.391,6.537,Not Available,6.537,241.993,13.909,0.475,0.776,10.343,22.576,32.919,290.071
1992 July,0.542,6.063,54.208,60.813,0.104,0.271,0.022,No Data Reported,6.101,2.902,0.039,9.042,9.439,2.497,0.186,0.005,No Data Reported,124.004,15.302,0.096,5.392,144.794,147.482,6.754,Not Available,6.754,211.607,14.109,0.643,0.776,11.905,23.447,35.353,262.487
